17	2	1	NA	0	0	NA
18	1	0	NA	0	0	NA
19	3	3	NA	0	1	NA
20	3	4	NA	1	0	NA
21	3	5	NA	2	1	NA
22	1	6	NA	6	2	NA
23	1	3	NA	1	1	NA
24	0	7	NA	5	4	NA
25	2	1	NA	7	2	NA
26	0	2	NA	5	1	NA
27	0	2	NA	3	1	NA
28	1	0	NA	2	6	NA
29	0	0	NA	2	1	NA
30	0	0	NA	0	1	NA
19	1	NA	0	NA	0	0
20	0	NA	1	NA	3	0
21	2	NA	3	NA	1	0
22	3	NA	12	NA	12	0
23	3	NA	16	NA	5	0
24	2	NA	34	NA	14	2
25	3	NA	15	NA	13	0
26	5	NA	35	NA	8	2
27	0	NA	20	NA	8	0
28	0	NA	14	NA	12	1
29	3	NA	4	NA	5	2
30	0	NA	0	NA	6	4
31	1	NA	1	NA	0	0
32	0	NA	0	NA	0	1
33	0	NA	1	NA	0	0
35	0	NA	1	NA	0	0
